Year	Manufacturer	Vehicle_Type	Units_Sold	Revenue	Average_Price
2021	Hyundai	Sedan	1743	77019561.99	44187.93
2019	BMW	Electric	7633	505059122.72	66167.84
2019	Tesla	SUV	7472	382649712.8	51211.15
2023	Nissan	Electric	4894	322826494.62	65963.73
2019	BMW	Hatchback	3364	252400953.64	75030.01
2020	Ford	Hatchback	5758	313414734.44	54431.18
2023	Ford	Sedan	6133	432010053.25	70440.25
2024	BMW	SUV	1901	71257331.13	37484.13
2018	Honda	Hatchback	2325	164439693.75	70726.75
2023	BMW	Truck	7749	612671042.97	79064.53
2024	Ford	Hatchback	4820	184444289.0	38266.45
2019	Toyota	Electric	2106	110477748.42	52458.57
2023	BMW	Sedan	3683	106168257.31	28826.57
2022	Honda	Electric	6755	436452101.05	64611.71
2024	Ford	SUV	6496	388465931.84	59800.79
2022	Toyota	SUV	4730	179251627.5	37896.75
2020	Nissan	Sedan	6658	455522916.04	68417.38
2024	Toyota	Sedan	3976	111969805.92	28161.42
2020	Tesla	SUV	4242	244048835.1	57531.55
2024	Honda	Electric	3840	251598182.4	65520.36
2021	Toyota	Electric	3974	267786122.22	67384.53
2019	Nissan	Truck	5345	156838762.6	29343.08
2019	Hyundai	SUV	5820	199185076.8	34224.24
2020	Tesla	Truck	622	16341414.14	26272.37
2023	BMW	Electric	7686	307922373.36	40062.76
2021	Chevrolet	Electric	1173	55487216.64	47303.68
2023	Honda	Truck	1351	62186340.86	46029.86
2019	Chevrolet	SUV	1590	82859558.7	52112.93
2018	Hyundai	Truck	7205	226546382.7	31442.94
2024	BMW	Hatchback	4620	176048426.4	38105.72
2023	Tesla	Electric	2049	150960607.74	73675.26
2024	Tesla	Hatchback	765	59648832.45	77972.33
2021	Chevrolet	Sedan	6029	343155064.89	56917.41
2020	Honda	SUV	3858	158863643.76	41177.72
2020	Nissan	SUV	1209	95171682.06	78719.34
2018	Ford	Sedan	7886	358645737.94	45478.79
2022	Tesla	Hatchback	3164	175851544.68	55578.87
2022	Honda	Sedan	4457	232137541.17	52083.81
2024	Chevrolet	Electric	4916	352934977.92	71793.12
2018	Toyota	Electric	5827	425496921.47	73021.61
2019	Ford	Electric	6553	511072991.57	77990.69
2021	BMW	SUV	2847	84233391.84	29586.72
2018	Chevrolet	Electric	2589	152020617.21	58717.89
2022	BMW	Truck	5293	401325316.7	75821.9
2022	Ford	SUV	3182	132304123.44	41578.92
2022	Tesla	Hatchback	2195	163672150.5	74565.9
2020	Tesla	Truck	6911	281020403.47	40662.77
2018	Tesla	SUV	2492	105244885.2	42233.1
2021	Ford	Sedan	2337	174744501.0	74773.0
2020	Tesla	Sedan	4980	336775936.2	67625.69
